HR: 75 BPM | RR: 893.6 ms
HR: 74 BPM | RR: 801.8 ms
HR: 74 BPM | RR: 761.7 ms
HR: 75 BPM | RR: 762.7 ms, 801.8 ms
HR: 75 BPM | RR: 860.4 ms
HR: 75 BPM | RR: 860.4 ms
HR: 74 BPM | RR: 811.5 ms
HR: 74 BPM | RR: 795.9 ms
HR: 74 BPM | RR: N/A
HR: 74 BPM | RR: 840.8 ms, 897.5 ms
HR: 73 BPM | RR: 1726.6 ms
HR: 73 BPM | RR: 846.7 ms
HR: 73 BPM | RR: 874.0 ms
